code,label,lng,lat,gend,northing,population,households,populationDensity,lgb1,lgb2,lgb3,lgb4,lgb5,lgb6,lgb7
E07000128,Wyre,-2.8537,53.9029,28855,445536,111949,50767,396.7,5.948609644,5.515898767,3.235102724,2.375920122,1.627921317,0.967569732,0.411734431
E07000129,Blaby,-1.2216,52.5717,430,297375,102933,42575,788.9,5.520067494,4.418285899,2.91177404,2.055976589,1.184927719,0.713872275,0.235162374
E07000130,Charnwood,-1.1463,52.737,2520,315833,183978,73785,659.2,7.30415948,5.093632959,2.932384342,2.283146475,1.34372609,0.743773063,0.284583883
E07000131,Harborough,-1.0077,52.5395,38320,293977,97631,40413,165,4.920127796,4.779116466,2.815507781,1.679389313,1.331709916,0.671391272,0.353122931
E07000132,Hinckley and Bosworth,-1.3906,52.6166,340,302271,113640,49446,382.2,5.910652921,5.132500761,2.955404384,2.197584637,1.099273936,0.536464002,0.208669259
E07000133,Melton,-0.856,52.7967,2380,322729,51751,22599,107.5,5.910951894,6.078619367,2.867056245,1.730496454,1.124197002,0.593424218,0.16217312
E07000134,North West Leicestershire,-1.4051,52.7532,32270,317453,104706,44973,374.8,7.113015533,4.80292564,3.074155834,1.871546961,1.261355958,0.47571128,0.191800527
E07000135,Oadby and Wigston,-1.0933,52.587,265,299185,57753,22617,2454.9,6.720195497,3.924722535,2.108296678,1.366080512,0.946100917,0.610084335,0.125944584
E07000136,Boston,-0.0218,52.9743,1970,343714,70503,29404,193.7,5.613621038,4.147465438,2.366356057,2.198687694,1.19047619,1.007740616,0.265674814
E07000137,East Lindsey,0.0299,53.25,31495,374440,142292,64754,80.5,6.833416708,5.031247528,3.489539749,2.084320227,1.58414927,0.885868292,0.460829493
E07000138,Lincoln,-0.5549,53.2247,150,370718,103813,42507,2908.9,16.25013126,9.016565318,5.01713382,2.9502094,1.528362888,0.853674803,0.473778794
E07000139,North Kesteven,-0.4459,53.0812,1910,354897,118075,50989,128,6.342721995,5.160541586,2.934765686,1.805422648,1.254138019,0.563867378,0.325977934
E07000140,South Holland,-0.032,52.7979,29950,324067,95119,40703,126.8,5.793932769,4.096127651,2.583209141,1.808422791,1.24003543,0.670765791,0.174615301
E07000141,South Kesteven,-0.5184,52.8547,110,329594,143400,62850,152.1,6.692913386,4.926674326,2.886453422,1.812548412,1.029919151,0.631029671,0.279165442
E07000142,West Lindsey,-0.4774,53.3929,2085,389522,95152,42345,82.3,7.338675664,5.246814434,3.483309144,1.805113126,1.185336943,0.6201935,0.252550763
E07000143,Breckland,0.8369,52.5881,21580,302678,141478,60359,108.4,6.88333029,4.795179178,3.062546893,2.070109224,1.421749512,0.766978923,0.38368336
E07000144,Broadland,1.3096,52.7014,60,316663,131722,57760,238.6,6.398201145,5.025902729,2.956010087,1.967789498,1.372037646,0.735384996,0.307754064
E07000145,Great Yarmouth,1.6614,52.6408,1965,311075,99743,44544,572.2,7.481117372,5.082720588,4.003532529,2.635003253,1.435039521,0.834397616,0.592865174
E07000146,King's Lynn and West Norfolk,0.4706,52.7272,14850,317216,154318,67464,107.2,6.240512734,4.968606617,2.7584,2.180802492,1.449982913,0.808625337,0.401748789
E07000147,North Norfolk,1.1695,52.8504,25,332832,102988,48374,106.6,7.294329974,5.299760192,3.661112415,3.156034338,2.137935476,1.179723502,0.661123228
E07000148,Norwich,1.2794,52.6323,2350,308886,143926,64459,3688.2,16.53532908,11.54791155,6.083861639,4.718776662,3.458784093,2.036307751,0.822535211
E07000149,South Norfolk,1.2759,52.5145,26110,295780,141948,61381,156.4,6.955355432,4.972980368,3.306094442,2.251612198,1.576248313,0.751111645,0.427350427
E07000163,Craven,-2.1743,54.0799,205,464893,56923,26069,48.4,6.065162907,4.697327044,3.297307199,2.029252866,1.409426987,0.876514566,0.410958904
E07000164,Hambleton,-1.3193,54.2873,1285,488149,90691,40802,69.2,5.592941528,4.18707721,2.502017756,1.643456448,1.075577226,0.519973589,0.178688987
E07000165,Harrogate,-1.5957,54.0671,33220,463534,162666,71169,124.4,6.371419164,4.742530197,2.961527816,1.951857194,1.35860007,0.707763791,0.338429927
E07000166,Richmondshire,-1.934,54.3615,155,496225,49764,20944,37.7,5.127144925,4.31372549,2.369002208,1.918387254,1.171428571,0.984974958,0.359028511
E07000167,Ryedale,-0.8517,54.2104,1460,480011,54709,24714,36.3,6.213244694,4.68781169,2.720432182,2.059925094,0.990338164,0.768815754,0.315357931
E07000168,Scarborough,-0.6353,54.3664,34500,497619,108736,51123,133.2,7.5,5.691356886,4.120771046,2.874571102,1.824274013,1.043548063,0.400065317
E07000169,Selby,-1.1353,53.7875,100,432688,91990,39560,153.5,5.858214235,4.295326758,2.809886289,1.554985572,1.099764336,0.504540868,0.229203182
E07000170,Ashfield,-1.2583,53.0918,1425,355201,126305,54508,1152.8,5.968625267,5.420873256,3.267528931,2.19521045,1.425507758,0.521724953,0.205660562
E07000171,Bassetlaw,-0.9588,53.3329,45140,382275,117804,51458,184.7,5.645076356,4.514975414,2.871186705,1.767057913,1.114758159,0.671499428,0.293588408
E07000172,Broxtowe,-1.262,52.9757,100,342283,110944,48361,1385,9.615577637,6.559766764,3.524814381,2.226896852,1.371643084,0.651574639,0.330482115
E07000173,Gedling,-1.1193,53.0286,1880,348277,117258,51551,977.4,6.212558243,5.700313846,3.635067712,2.513441731,1.526364477,0.825003966,0.245074936
E07000174,Mansfield,-1.1737,53.171,49560,364075,110486,48030,1440.2,6.990442321,5.231203671,3.527232308,2.018755816,1.423063442,0.508552936,0.253660786
E07000175,Newark and Sherwood,-0.9199,53.124,105,359080,122954,53331,188.8,6.819976313,5.171173763,3.562607589,2.374440577,1.289736603,0.54007345,0.328833506
E07000176,Rushcliffe,-1.0374,52.9007,2390,334124,119078,49883,291,7.981038986,6.05687048,3.070659674,1.925860658,1.412956545,0.723888314,0.292242295
E07000177,Cherwell,-1.2761,51.9586,45785,229130,161013,65894,273.5,6.665146679,5.333271011,3.563255966,2.383449328,1.58771746,0.669706469,0.377844568
E07000178,Oxford,-1.2417,51.7547,85,206500,162039,55238,3553,15.87878788,10.33258374,5.113114843,4.012268403,2.95688812,1.965442765,0.983198507
E07000179,South Oxfordshire,-1.071,51.6338,2560,193175,149080,61497,219.7,6.770925893,5.154203633,2.976744186,1.844839305,1.161732427,0.67114094,0.262467192
E07000180,Vale of White Horse,-1.4409,51.6343,38330,192976,138910,57498,240.5,7.522817369,5.978681594,3.15135628,1.936908875,1.230732465,0.586730856,0.331098419
E07000181,West Oxfordshire,-1.5069,51.8377,70,215553,114233,47981,159.9,6.447368421,4.916390537,3.292829283,2.059313562,1.498253158,0.739433661,0.418181818
E07000187,Mendip,-2.5444,51.2028,3665,144991,116090,50294,157,7.220496894,5.57270082,3.65905067,2.377858628,1.837437795,1.092856095,0.463205733
E07000188,Sedgemoor,-2.9533,51.1849,13605,143276,125354,53904,222.2,7.40234375,5.599762029,3.389961989,2.237164582,1.172898309,0.68707483,0.326957659
E07000189,South Somerset,-2.7099,50.9879,140,121192,172675,75936,180,6.443317905,4.926269798,2.975397974,1.857001461,1.409557059,0.766641735,0.406812758
E07000192,Cannock Chase,-1.9805,52.7124,725,312745,100529,43457,1274.3,6.371926584,5.587522714,3.346882297,1.520158625,0.897763331,0.481347774,0.235439901
E07000193,East Staffordshire,-1.812,52.8631,18630,329519,124019,51293,320.5,5.53906105,5.109301878,3.328548971,1.709079485,1.113512805,0.662424823,0.187110187
E07000194,Lichfield,-1.8048,52.6879,125,310036,106439,45630,321.3,5.391364581,4.852595878,3.037081648,1.817295641,0.998922027,0.533548909,0.218760938
E07000195,Newcastle-under-Lyme,-2.3179,52.9937,970,344081,123306,53423,584.5,9.534152187,5.206581353,3.401563082,2.042253521,1.280425963,0.572562791,0.327868852
E07000196,South Staffordshire,-2.1765,52.625,17015,303026,110474,46121,271.2,4.62621522,3.640945429,2.482758621,1.622065567,0.985499969,0.463898242,0.170648464
E07000197,Stafford,-2.1762,52.8482,75,327866,136870,60047,228.8,6.603682638,5.456304418,3.334193216,2.334287602,1.389506447,0.515901522,0.204813108
E07000198,Staffordshire Moorlands,-1.9816,53.0792,840,353540,95851,42355,166.4,4.827961376,4.062465873,2.785721851,1.52972359,1.113471541,0.523433725,0.227833681
E07000199,Tamworth,-1.6767,52.6263,19515,303220,78646,32895,2549.6,6.408808583,4.293696696,3.102599765,1.589886026,0.87832048,0.347265286,0.121845083
E07000200,Babergh,0.915,52.0507,95,243163,92332,40200,155.5,6.183820415,5,2.843347639,1.917808219,1.340650725,0.648039051,0.354575946
E07000202,Ipswich,1.1593,52.0552,925,244356,139644,59507,3534.3,8.510475021,6.676040202,4.197260274,2.925625661,1.976072053,0.875718709,0.466497031
E07000203,Mid Suffolk,1.0926,52.2468,20855,265459,102702,44343,117.9,5.977859779,4.824931944,2.857688999,2.345559125,1.405330564,0.602685383,0.360576923
E07000207,Elmbridge,-0.392,51.3572,55,163238,138757,55590,1459.6,5.612403101,4.364702155,2.022030305,1.667312912,1.391016606,0.921423087,0.451767207
E07000208,Epsom and Ewell,-0.2616,51.3394,1110,161461,80939,31321,2375.4,6.516952884,4.314011423,2.25455852,1.680672269,1.045934872,0.571673574,0.438596491
E07000209,Guildford,-0.5622,51.248,16595,150851,143646,55760,530.2,9.862104188,5.881619938,3.206161562,2.092027235,1.380658562,0.56692137,0.299836453
E07000210,Mole Valley,-0.3256,51.2122,40,147214,87386,37139,338.3,6.360636064,4.750162232,2.684009497,1.7649451,1.166639087,0.632058854,0.37468776
